review_id,char_count,word_count,sentence_count,avg_word_length,uppercase_ratio,punctuation_density,exclamation_count,question_count,has_emoji,readability_score,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound,positive_keyword_count,negative_keyword_count,beach_keyword_count,temple_keyword_count,nature_keyword_count,historical_keyword_count,destination,district,location_type,has_beach,has_temple,has_nature,has_historical,district_encoded,loctype_beaches,loctype_bodies_of_water,loctype_farms,loctype_gardens,loctype_historic_sites,loctype_museums,loctype_national_parks,loctype_nature_spots,loctype_waterfalls,loctype_religious_sites,loctype_historical_sites,loctype_other,latitude,longitude
691e199e8e0bdde971bea2cd,223,37,3,5.054054054054054,0.07142857142857142,0.02242152466367713,0,0,0,61.70045045045046,0.0,0.896,0.104,0.6369,0,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ce,267,47,5,4.702127659574468,0.023696682464454975,0.03745318352059925,0,0,0,69.08027272727276,0.0,0.746,0.254,0.9227,2,0,4,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2cf,133,23,7,4.826086956521739,0.0673076923076923,0.05263157894736842,0,0,0,77.10513043478262,0.07,0.603,0.327,0.8442,3,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d0,290,54,3,4.388888888888889,0.021367521367521368,0.010344827586206896,0,0,0,71.06500000000001,0.0,0.873,0.127,0.7535,1,0,5,0,1,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d1,254,48,5,4.3125,0.039603960396039604,0.01968503937007874,0,0,0,73.0425,0.042,0.849,0.109,0.5542,1,1,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d2,231,43,7,4.395348837209302,0.03867403314917127,0.030303030303030304,0,0,0,91.35153100775194,0.085,0.571,0.344,0.9373,2,0,4,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d3,295,57,3,4.192982456140351,0.02145922746781116,0.01694915254237288,0,0,0,71.32484848484852,0.0,0.937,0.063,0.4019,0,0,5,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d4,105,18,2,4.888888888888889,0.0625,0.01904761904761905,0,0,0,71.06500000000001,0.0,0.817,0.183,0.5859,1,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d5,174,34,1,4.147058823529412,0.007246376811594203,0.017241379310344827,0,0,0,60.354411764705915,0.0,0.701,0.299,0.9147,3,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d6,202,37,3,4.486486486486487,0.018404907975460124,0.01485148514851485,0,0,0,82.27882882882884,0.104,0.805,0.091,-0.128,2,0,5,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d7,170,32,2,4.34375,0.029850746268656716,0.029411764705882353,1,0,0,58.03000000000003,0.058,0.578,0.364,0.9295,3,0,0,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d8,1238,239,7,4.184100418410042,0.01120162932790224,0.009693053311793215,0,0,0,56.457341772151935,0.047,0.831,0.121,0.9629,5,0,3,0,0,1,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2d9,271,52,4,4.230769230769231,0.027777777777777776,0.014760147601476014,0,0,0,76.50153846153849,0.0,0.733,0.267,0.9412,4,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2da,277,53,5,4.245283018867925,0.0410958904109589,0.021660649819494584,0,0,0,77.95524528301891,0.0,0.74,0.26,0.9382,0,0,6,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2db,105,24,1,3.4166666666666665,0.0125,0.01904761904761905,0,0,0,90.82500000000003,0.0,0.846,0.154,0.6369,1,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2dc,193,41,4,3.731707317073171,0.0,0.025906735751295335,0,0,0,93.26051829268295,0.073,0.817,0.11,0.4005,1,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2dd,329,60,6,4.5,0.022727272727272728,0.0182370820668693,1,0,0,79.65500000000002,0.046,0.678,0.275,0.9649,3,0,4,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2de,165,30,2,4.533333333333333,0.022388059701492536,0.012121212121212121,0,0,0,73.17000000000003,0.0,0.814,0.186,0.7501,2,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2df,102,19,4,4.421052631578948,0.08860759493670886,0.049019607843137254,0,0,0,89.46750000000003,0.147,0.463,0.39,0.8532,3,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e0,140,26,2,4.423076923076923,0.018018018018018018,0.02857142857142857,0,0,0,72.32350000000002,0.0,0.762,0.238,0.8176,2,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e1,250,49,3,4.122448979591836,0.01507537688442211,0.012,0,0,0,81.48523809523812,0.142,0.596,0.262,0.8506,2,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e2,122,24,2,4.125,0.021052631578947368,0.03278688524590164,0,0,0,83.77500000000002,0.082,0.818,0.1,0.128,1,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e3,410,77,6,4.337662337662338,0.018461538461538463,0.02195121951219512,0,0,0,76.24812770562772,0.0,0.786,0.214,0.9604,3,0,7,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e4,333,64,4,4.21875,0.0625,0.042042042042042045,0,4,0,69.31034836065577,0.0,0.537,0.463,0.9923,3,0,0,0,0,1,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e5,152,28,3,4.464285714285714,0.03305785123966942,0.02631578947368421,0,0,0,76.50452380952383,0.0,0.816,0.184,0.705,0,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e6,155,28,2,4.571428571428571,0.01680672268907563,0.05806451612903226,0,1,0,69.99384615384618,0.0,0.642,0.358,0.9245,2,0,4,0,1,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e7,180,32,2,4.65625,0.0136986301369863,0.016666666666666666,0,0,0,76.91375000000001,0.037,0.658,0.305,0.8999,2,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e8,108,22,3,3.9545454545454546,0.012048192771084338,0.037037037037037035,0,0,0,98.54833333333333,0.0,0.493,0.507,0.9552,3,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2e9,180,28,4,5.464285714285714,0.03355704697986577,0.022222222222222223,0,0,0,54.70142857142861,0.0,0.807,0.193,0.7351,0,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ea,166,32,3,4.21875,0.022556390977443608,0.012048192771084338,0,0,0,84.97083333333336,0.0,0.822,0.178,0.7579,0,0,1,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2eb,117,23,1,4.130434782608695,0.010869565217391304,0.02564102564102564,0,0,0,76.82043478260871,0.088,0.772,0.14,0.34,1,0,2,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ec,1231,251,9,3.908366533864542,0.018259935553168637,0.025995125913891144,0,0,0,74.71582558654275,0.056,0.807,0.136,0.9678,4,2,17,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ed,218,38,3,4.7631578947368425,0.029069767441860465,0.04128440366972477,0,0,0,75.98359649122811,0.118,0.852,0.03,-0.5627,0,0,0,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ee,179,29,2,5.206896551724138,0.03424657534246575,0.027932960893854747,0,0,0,66.67612068965518,0.06,0.471,0.469,0.9643,2,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
691e199e8e0bdde971bea2ef,212,37,3,4.756756756756757,0.029239766081871343,0.02358490566037736,1,0,0,57.12747747747747,0.0,0.738,0.262,0.9199,4,0,3,0,0,0,Bentota Beach,Galle,Beaches,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,6.4215,79.9997
